date;Filière de production;Plage de puissance injection;Total
2018-01-06;F2 : Bioénergies;P7 : > 12000 kW;0
2018-01-06;F3 : Hydraulique;P0 : Total toutes puissances;14615040318
2018-01-06;F3 : Hydraulique;P1 : ]0 - 3] kW;993968516
2018-01-06;F3 : Hydraulique;P2 : ]3 - 9] kW;774735
2018-01-06;F3 : Hydraulique;P3 : ]9 - 100] kW;188505894
2018-01-06;F3 : Hydraulique;P4 : ]100 - 250] kW;876227200
2018-01-06;F3 : Hydraulique;P5 : ]250 - 1000] kW;3780812360
2018-01-06;F3 : Hydraulique;P6 : ]1000 - 12000] kW;7752375464
2018-01-06;F3 : Hydraulique;P7 : > 12000 kW;1021862482
2018-01-06;F4 : Eolien;P0 : Total toutes puissances;42293408701
2018-01-06;F4 : Eolien;P1 : ]0 - 3] kW;76371440
2018-01-06;F4 : Eolien;P2 : ]3 - 9] kW;188496
2018-01-06;F4 : Eolien;P3 : ]9 - 100] kW;388176
2018-01-06;F4 : Eolien;P4 : ]100 - 250] kW;0
2018-01-06;F4 : Eolien;P5 : ]250 - 1000] kW;0
2018-01-06;F4 : Eolien;P6 : ]1000 - 12000] kW;37785661978
2018-01-06;F4 : Eolien;P7 : > 12000 kW;4359367315
2018-01-06;F5 : Solaire;P0 : Total toutes puissances;4867200311
2018-01-06;F5 : Solaire;P1 : ]0 - 3] kW;529871318
2018-01-06;F5 : Solaire;P2 : ]3 - 9] kW;315440680
2018-01-06;F5 : Solaire;P3 : ]9 - 100] kW;1075203005
2018-01-06;F5 : Solaire;P4 : ]100 - 250] kW;701152648
2018-01-06;F5 : Solaire;P5 : ]250 - 1000] kW;0
2018-01-06;F5 : Solaire;P6 : ]1000 - 12000] kW;2040492487
2018-01-06;F5 : Solaire;P7 : > 12000 kW;0
2018-01-06;F6 : Autres;P0 : Total toutes puissances;376184004
2018-01-06;F6 : Autres;P1 : ]0 - 3] kW;0
2018-01-06;F6 : Autres;P2 : ]3 - 9] kW;0
2018-01-06;F6 : Autres;P3 : ]9 - 100] kW;0
2018-01-06;F6 : Autres;P4 : ]100 - 250] kW;0
2018-01-06;F6 : Autres;P5 : ]250 - 1000] kW;0
2018-01-06;F6 : Autres;P6 : ]1000 - 12000] kW;333100156
2018-01-06;F6 : Autres;P7 : > 12000 kW;0
2018-01-07;F0 : Total toutes filières;P0 : Total toutes puissances;251662316968
2018-01-07;F0 : Total toutes filières;P1 : ]0 - 3] kW;1973404625
2018-01-07;F0 : Total toutes filières;P2 : ]3 - 9] kW;248063174
2018-01-07;F0 : Total toutes filières;P3 : ]9 - 100] kW;1094753248
2018-01-07;F0 : Total toutes filières;P4 : ]100 - 250] kW;2290340438
2018-01-07;F0 : Total toutes filières;P5 : ]250 - 1000] kW;6137445486
2018-01-07;F0 : Total toutes filières;P6 : ]1000 - 12000] kW;216601739600
2018-01-07;F0 : Total toutes filières;P7 : > 12000 kW;23316570241
2018-01-07;F1 : Thermique non renouvelable;P0 : Total toutes puissances;39533088044
2018-01-07;F1 : Thermique non renouvelable;P1 : ]0 - 3] kW;0
2018-01-07;F1 : Thermique non renouvelable;P2 : ]3 - 9] kW;0
2018-01-07;F1 : Thermique non renouvelable;P3 : ]9 - 100] kW;0
2018-01-07;F1 : Thermique non renouvelable;P4 : ]100 - 250] kW;28646983
2018-01-07;F1 : Thermique non renouvelable;P5 : ]250 - 1000] kW;775430980
2018-01-07;F1 : Thermique non renouvelable;P6 : ]1000 - 12000] kW;38560688148
2018-01-07;F1 : Thermique non renouvelable;P7 : > 12000 kW;0
2018-01-07;F2 : Bioénergies;P0 : Total toutes puissances;14859829007
2018-01-07;F2 : Bioénergies;P1 : ]0 - 3] kW;0
2018-01-07;F2 : Bioénergies;P2 : ]3 - 9] kW;0
2018-01-07;F2 : Bioénergies;P3 : ]9 - 100] kW;66155458
2018-01-07;F2 : Bioénergies;P4 : ]100 - 250] kW;779012314
2018-01-07;F2 : Bioénergies;P5 : ]250 - 1000] kW;1132375984
2018-01-07;F2 : Bioénergies;P6 : ]1000 - 12000] kW;10842806313
2018-01-07;F2 : Bioénergies;P7 : > 12000 kW;0
2018-01-07;F3 : Hydraulique;P0 : Total toutes puissances;15173494117
2018-01-07;F3 : Hydraulique;P1 : ]0 - 3] kW;992249136
2018-01-07;F3 : Hydraulique;P2 : ]3 - 9] kW;773453
2018-01-07;F3 : Hydraulique;P3 : ]9 - 100] kW;194886610
2018-01-07;F3 : Hydraulique;P4 : ]100 - 250] kW;916303720
2018-01-07;F3 : Hydraulique;P5 : ]250 - 1000] kW;3949718259
2018-01-07;F3 : Hydraulique;P6 : ]1000 - 12000] kW;7959577106
2018-01-07;F3 : Hydraulique;P7 : > 12000 kW;1162408484
2018-01-07;F4 : Eolien;P0 : Total toutes puissances;177296361366
2018-01-07;F4 : Eolien;P1 : ]0 - 3] kW;168879204
2018-01-07;F4 : Eolien;P2 : ]3 - 9] kW;188496
2018-01-07;F4 : Eolien;P3 : ]9 - 100] kW;388176
2018-01-07;F4 : Eolien;P4 : ]100 - 250] kW;0
2018-01-07;F4 : Eolien;P5 : ]250 - 1000] kW;0
2018-01-07;F4 : Eolien;P6 : ]1000 - 12000] kW;156766606648
2018-01-07;F4 : Eolien;P7 : > 12000 kW;20262212981
2018-01-07;F5 : Solaire;P0 : Total toutes puissances;4371841900
2018-01-07;F5 : Solaire;P1 : ]0 - 3] kW;414897335
2018-01-07;F5 : Solaire;P2 : ]3 - 9] kW;246993591
2018-01-07;F5 : Solaire;P3 : ]9 - 100] kW;831095946
2018-01-07;F5 : Solaire;P4 : ]100 - 250] kW;559082706
